level,time,normalized_nav,drawdown
B5,2023-08-26T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-26T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-26T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-26T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-26T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-27T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-28T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-29T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-30T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-31T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-01T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-02T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-03T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-04T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-05T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-06T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-07T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-08T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-09T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
