arm,month,start,end,partial_month,start_equity,end_equity,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points
F3,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,52252.58194496982,53035.48638872182,0.014983076713348087,1.0632108561658304,3.7179301826445097,76.93711375419697,0.013819219415516892,52252.58194496982,53035.48638872182,782.904443752006,0.20019371134614256,-0.006969982164811224,-0.010353598531608221,2.3333333333333335,0.8695652173913043,0.4441168720407423,0.9782608695652174,0.4539861358638699,46
F4,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
F4,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50000.0,49884.19957220646,-0.002316008555869886,-0.027835361202373954,-0.9144689000439579,-3.2107647535255115,0.008669386684841962,50000.0,49884.19957220646,-115.80042779353971,0.030365699531088218,-0.0018678502868642896,-0.003672427549446744,4.5,0.6132596685082873,0.06439145271941712,0.6685082872928176,0.09632109869598762,181
F4,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,49884.19957220646,49591.56570058374,-0.005866263749490397,-0.0669732069463077,-1.0684606518227737,-2.8087034124153956,0.02384488395971751,49884.19957220646,49591.56570058374,-292.6338716227183,0.0630190045238584,-0.0034879899486200184,-0.006787960666342796,21.0,0.9037433155080213,0.1684541115823327,1.0,0.1684541115823327,187
F4,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,49591.56570058374,49142.75784871068,-0.009050084334558228,-0.10478055095055361,-9.054356122037289,-11.294102692279775,0.00927745689988968,49591.56570058374,49142.75784871068,-448.80785187306174,0.01221610227719539,-0.0009237647888301121,-0.001935978738336841,30.0,0.994475138121547,0.007986946107789073,0.17679558011049723,0.04517616392218195,181
F4,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,49142.75784871068,48870.55371715786,-0.005539048752427278,-0.06334842555902409,-3.3368096195333017,-10.904946044347858,0.00580914617104944,49142.75784871068,48870.55371715786,-272.2041315528186,0.019555112914758564,-0.0011553980547659548,-0.001918723027008462,18.333333333333332,0.8877005347593583,0.050208596701133534,0.8983957219251337,0.055886949899476006,187
F4,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,48870.55371715786,50734.34260279766,0.03813725738461238,0.5542396509120731,5.707126449182393,48.145739125305305,0.011511707182843223,48870.55371715786,50734.34260279766,1863.7888856397985,0.07780711456272925,-0.003309736018563092,-0.009000674254407981,9.833333333333334,0.8502673796791443,0.14256477047402208,1.0,0.14256477047402208,187
F4,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,50734.34260279766,51413.42447632445,0.013385053174797656,0.9108116396961521,3.8469815575394692,79.85935319694251,0.011405196802057538,50734.34260279766,51413.42447632445,679.0818735267894,0.1721836183644029,-0.006193306213921927,-0.009150437155611924,2.3333333333333335,0.8478260869565217,0.3911097086522485,0.9782608695652174,0.3998010355111873,46
F5,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50026.34601354106,0.0005269202708195753,0.008049177749174907,0.1350221643835299,0.13287491740456453,0.06057710444076936,50000.0,50026.34601354106,26.34601354105689,0.18182093650208786,-0.008848422159391425,-0.012299760137194582,15.0,0.8689655172413793,0.4072933538276331,0.9862068965517241,0.41298976437067686,145
F5,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50026.34601354106,50815.63309316606,0.015777428145789196,0.20996398618144507,1.1195788276164915,6.139113486870114,0.03420102700992589,50026.34601354106,50815.63309316606,789.2870796250063,0.18561617267917727,-0.009606883342085728,-0.013460167786475963,13.333333333333334,0.9281767955801105,0.4680761731137151,1.0,0.4680761731137151,181
F5,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,50815.63309316606,51262.58698011092,0.008795598120867165,0.10868974596843439,0.6305320909411565,1.669631012748624,0.06509806366707593,50815.63309316606,51262.58698011092,446.9538869448588,0.19328832700901633,-0.009733089276797391,-0.013626289298258154,20.0,0.9037433155080213,0.5599403189767986,1.0,0.5599403189767986,187
F5,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,51262.58698011092,46074.57284214699,-0.10120468832321716,-0.7272151666426085,-5.932953730171197,-6.853152596098463,0.10611396090269698,51262.58698011092,46074.57284214699,-5188.014137963932,0.2149943553378699,-0.01147364374451977,-0.016320529357883973,30.0,0.994475138121547,0.38379571634633447,1.0,0.38379571634633447,181
F5,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,46074.57284214699,47038.8303814638,0.02092819270664603,0.2763909949260701,1.4541474996997394,8.523384845024333,0.03242737479904101,46074.57284214699,47038.8303814638,964.2575393168081,0.17881916546714416,-0.008028270362156776,-0.015349146116917067,10.333333333333334,0.9037433155080213,0.5482748374526663,1.0,0.5482748374526663,187
F5,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,47038.8303814638,54190.75711595005,0.15204303926112184,4.299563937330447,7.033807773237589,196.7251692178197,0.021855688087221048,47038.8303814638,54190.75711595005,7151.926734486253,0.2412587059385891,-0.0073807782677274055,-0.01193170649478803,9.833333333333334,0.8449197860962567,0.562501822519056,1.0,0.562501822519056,187
F5,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,54190.75711595005,55011.421642812486,0.01514399448427084,1.0792013140373111,3.7640355213271226,78.4079419508254,0.013763928591750907,54190.75711595005,55011.421642812486,820.6645268624343,0.19977167905511736,-0.006983399264955022,-0.010340086253286751,2.3333333333333335,0.8695652173913043,0.4447110255619005,0.9782608695652174,0.45459349279660943,46
