arm,mode,cost_multiplier,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points,final_cash_decimal,total_cost,fills,closed_trades,win_rate,rejections
F2,REDECIDE_FUNDED,0,0.07728814887140079,0.15879499942333086,1.3888067504581771,2.5183806308208125,0.06305440785238847,50000.0,53864.40744357,3864.407443570002,0.11050192053798943,-0.0053236680285842575,-0.013661917960016257,100.33333333333333,0.7888086642599278,0.19260541773007822,0.6633574007220217,0.2903493916257506,1108,53864.40744357000000000000000,0.0,254,15,0.3333333333333333,0
F2,REDECIDE_FUNDED,0.5,0.07239706207582297,0.14840281133388,1.3071734002003357,2.2855220707716635,0.06493169032656709,50000.0,53619.85310379129,3619.853103791291,0.11051153281847713,-0.005331075618437516,-0.013670111993633882,100.5,0.7897111913357401,0.19259637589809175,0.6633574007220217,0.29033576121780363,1108,53619.85310379128810471367183,228.8893012887119,254,15,0.3333333333333333,0
F2,REDECIDE_FUNDED,1,0.06752652691953998,0.1381003288804421,1.2254713408203064,2.0672218353285836,0.06680479400919792,50000.0,53376.32634597689,3376.326345976893,0.1105266452555309,-0.0053384560264488085,-0.013678009240994382,100.5,0.7915162454873647,0.19258690261217914,0.6633574007220217,0.2903214804004006,1108,53376.32634597689793998496134,456.74243332310203,254,15,0.3333333333333333,0
F2,REDECIDE_FUNDED,1.5,0.06267986874658904,0.1278939617933863,1.1437607825634921,1.8623840145186017,0.06867217544628945,50000.0,53133.99343732945,3133.9934373294527,0.11054826008147808,-0.005345853418794949,-0.01368629499151508,101.0,0.7933212996389891,0.19257788964734024,0.6633574007220217,0.2903078935091877,1108,53133.99343732945234301557888,683.5574650105476,254,15,0.3333333333333333,0
F2,REDECIDE_FUNDED,2,0.057857505568846834,0.11778391623347373,1.0620645814267304,1.669865214022672,0.07053498404804459,50000.0,52892.875278442334,2892.875278442334,0.110576463222905,-0.005353452411510501,-0.013694434765746943,101.0,0.7933212996389891,0.19256870271146648,0.6633574007220217,0.29029404435959844,1108,52892.87527844233487630370890,909.3458538676651,254,15,0.26666666666666666,0
F3,FROZEN_ORDERS_FUNDED,1.5,0.06286940658207762,0.1282922464078451,1.2116251083340044,1.987079953672562,0.06456320299076679,50000.0,53143.47032910366,3143.4703291036567,0.10408326447038332,-0.00513902894145537,-0.013661233123356098,101.16666666666667,0.7933212996389891,0.18572508702506924,0.6633574007220217,0.2799774101003764,1108,53143.47032910365609266324699,502.2152058563439,215,14,0.35714285714285715,2
F3,FROZEN_ORDERS_FUNDED,2,0.059521384045920334,0.12126713389601385,1.1496339510593876,1.8445884027403074,0.06574211011836584,50000.0,52976.069202295876,2976.0692022958756,0.10428031997555692,-0.005152887549212946,-0.013673938512790751,101.16666666666667,0.7933212996389891,0.18601563476691085,0.6633574007220217,0.2804154058799146,1108,52976.06920229587623766384955,669.6163326641238,215,14,0.35714285714285715,2
F3,REDECIDE_FUNDED,0,0.06841357729979625,0.1399732554286579,1.300179452733107,2.228024541362039,0.06282392892453925,50000.0,53420.67886499,3420.6788649899972,0.10498919905247583,-0.005249599354043108,-0.013646273189125702,101.0,0.7915162454873647,0.18902538067921784,0.6633574007220217,0.2849525466565624,1108,53420.67886499000000000000000,0.0,217,15,0.3333333333333333,0
F3,REDECIDE_FUNDED,0.5,0.06455597439385086,0.13183937384130573,1.2319108675394728,2.0484816131379326,0.0643595592929681,50000.0,53227.798719692706,3227.798719692706,0.10499481147825644,-0.00525557796647847,-0.013647516457610975,101.16666666666667,0.7933212996389891,0.18902836749248658,0.6633574007220217,0.2849570492267689,1108,53227.79871969270647278448228,181.32475077729353,217,15,0.3333333333333333,0
F3,REDECIDE_FUNDED,1,0.06070972777443484,0.12375813448599504,1.1635497782577624,1.8781883805468078,0.06589229055392443,50000.0,53035.48638872182,3035.4863887218235,0.1050058108013719,-0.0052615344207016706,-0.013648553189956725,101.16666666666667,0.7933212996389891,0.18903007611884562,0.6633574007220217,0.2849596249519469,1108,53035.48638872181979835611912,362.0160635781802,217,15,0.3333333333333333,0
